Yeargroup,StudentRef,Proposed Major,High School,Exam Type,Exam Year,Exam Month,Elective Subjects,Points,Other,English A EE in English,English A: Lang & Lit. SL,English A: Lang & Lit HL,English A: Literature HL,English Lit. (HL),English A: Literature SL,Mis English A: Literature,Mis Economics (Eng),Mis Chemistry (Eng),Mis Mathematics (Eng),Mis French B,Extended Essay Economics (Eng),Theory of Knowledge,Mis ITGS (Eng),Maths (SL),English A: Lang and Literature SL,Swahili AB. SL,Swahili EE,Swahili A,French B SL,Economics EE in English,Economics HL in English,Biology HL in English,Business Management EE in English,Business Management HL in English,Economics SL in English,Global Politics HL in English,Biology SL in English,Hist. Africa HL in English,ITGS EE in English,Math. Studies SL in English,English A EE,ITGS (HL),Physics SL in English,Visual Arts EE in English,Visual Arts HL in English,Spanish AB. SL,Chemistry EE in English,Chemistry HL in English,Physics EE in English,Physics HL in English,Chemisty SL in English,Mathematics HL in English,Mathematics SL in English,Theory Knowl. TK in English,Geography EE in English,Geography HL in English,Computer SC. HL in English,Computer SC. SL in English,German AB SL,Further Maths,English,Mathematics,Biology,Chemistry,Physics,Geography,Computer Studies,Literature (English),French,Env. And Soc SL,History Africa and Middle East,Hist. Africa and Mid East HL in English,French hl,History Africa and Middle East HL,Music EE,Music HL,History EE,Swahili AB: SL,French AB. SL,Geography EE,Goegraphy HL in English,Business Management SL in English,Visual Arts SL,Spanish B. SL,Physics HL in English.1,Math. Studies,Mathematics Analysis and Appro HL in Eng,Mathematics Analysis and Appro SL in English,Mathematics Applications and I HL in English,Mathematics Applications and I SL in English,Geography SL in English,Computer Science EE in English,French A,Music EE in English,Music HL in English,Psychology,Hist. Africa & Mid. East,Chemistry SL in English,Swahili A: HL,Biology EE in English,Mathematics EE in English,Math Analysis,History Africa and Middle East HL in English,History EE in English ,French A: Lang and Literature SL in French,French & Literature,Kiswahili AB SL,Wild. Stidies Equality and Ineq EE in English,Theatre SL in English,Theatre EE in English,Geography SL in English.1,Soc. Cul. Anth. HL in English,History SL in English,Digital Soc. HL in English
2023,Sa80ae1d84e7877a9,[B.Sc.] Business Administration,Sch210,IB Diploma,2019.0,May,"English A: Lit HL, French B SL, Business Management hl, Economics EE, Economics Hl, Physics sl, Mathematics SL, TK",30.0,,,,,,4.0,,,,,,5.0,,B,,,,,,,,c,5.0,,,6.0,,,,,,,,,4.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Sc3b0bc4b2ccefe0e,[B.Sc.] Computer Engineering,Sch214,IB Diploma,2019.0,May,"English A: Lang and Lit SL, French B SL, Economics EE, Economics Hl, Computer Sc, Physics Hl, Mathematics SL, TK",30.0,,,6.0,,,,,,,,,,,C,,,,,,,5.0,D,5.0,,,,,,,,,,,,,,,,,,,4.0,,,5.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,S5bd4dc0f10c91556,[B.Sc.] Management Information Systems,Sch201,IB Diploma,2018.0,May,"English A: Lang and Lit SL, Swahili A EE, Swahili A: Lit HL, History Africa and Middle East, Env and Soc , Math stud, TK., Theatre",25.0,,,,6.0,,,,,,,,,,,,,,,B,6.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,S46e0398a51e7ec3d,[B.Sc.] Computer Science,Sch212,IB Diploma,2015.0,August,"Biology, Chemistry, Mathematics, French, Psychology,English A: Literature",39.0,,,,,,7.0,,7.0,,,5.0,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,S74879f13958d648b,[B.Sc.] Management Information Systems,Sch210,IB Diploma,2019.0,May,"English A: Lit HL, French B SL, Business Management hl, Env and Soc SL, itgs EE, ITGS HL, Mathematics SL, TK",25.0,,,,,4.0,,,,,,,,,,,,,,,,4.0,,,,,5.0,,,,,,,,,,,,,,,,,,,3.0,C,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Saf20200543e78422,[B.Sc.] Business Administration,Sch214,IB Diploma,2019.0,May,"English Lit HL, Spanish, Business Management HL, Biology SL, History Africa and Middle East, Env and Soc , Math stud, TK.",24.0,,D,,,4.0,,,,,,,,,,,,,,,,,,,4.0,,4.0,,,,,,4.0,,,,,,4.0,,,,,,,,C,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,S00a315492899b463,[B.Sc.] Business Administration,Sch213,IB Diploma,2019.0,May,"English A, Swahili, Economics EE, Economics HL, Geography SL, Biology Hl, Math Sudies, TK",27.0,,,,,4.0,,,,,,,,,,,3.0,,6.0,,,,D,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Se59e6db3308dd41e,[B.Sc.] Business Administration,Sch214,IB Diploma,2018.0,july,"English, Spanish, Business Management Eng, History Africa and Middle East, Env and Soc , Math stud, TK.",37.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,6.0,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,7.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Sab7c5d8aadf74504,[B.Sc.] Electrical and Electronic Engineering,Sch214,IB Diploma,2019.0,May,"English A: Lang and Lit SL, French B SL, Geography SL, Geography EE, Chemistry, Physics, Mathematics HL, TK",35.0,,,5.0,,,,,,,,,,,B,,,,,,,6.0,,,,,,,,,,,,,,,,,,,6.0,,5.0,,4.0,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,S43eb8b0bf4622180,[B.Sc.] Business Administration,Sch214,IB Diploma,2019.0,May,"English A, Spanish AB.SL, Business Management EE, Business Management HL, Env and Soc , Math stud, TK, ITGS HL in Eng",27.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,C,4.0,,,,,,4.0,,4.0,,,,5.0,,,,,,,,C,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,S3c3321c2ecedbd68,[B.Sc.] Business Administration,Sch214,IB Diploma,2019.0,May,"English, Spanish, Business Management Eng, History Africa and Middle East, Env and Soc , Math stud, TK.",28.0,,D,,6.0,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,4.0,,,,,,5.0,,,,,,,,C,,,,,,,,,,,,,,,,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,S6a7832a6722d68ed,[B.Sc.] Business Administration,Sch203,IB Diploma,2019.0,May,"English, Spanish, Business Management Eng, History EE, History Africa and Middle East, Biology, Math stud, TK.",27.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,5.0,,,4.0,,,,,,,,,4.0,,,,,,,3.0,B,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,S4c9831f4ef6e04fc,[B.Sc.] Business Administration,Sch210,IB Diploma,2019.0,May,"English, Spanish, Business Management EE, Business Management HL, Geography, Mathematics SL, Env and Soc , Math stud, TK.",25.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,C,5.0,,,,,,,,,,,,4.0,,,,,,,2.0,C,,4.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,S25328cc3f9b0ef1a,[B.Sc.] Business Administration,Sch203,International Baccalaureate (IB) Diploma,2019.0,May,"English A: Lang and Lit HL, Spanish AB. SL, Business Management EE, Business Management HL, History Africa and Middle East HL, Biology SL, Math Studies SL, TK",25.0,,,,4.0,,,,,,,,,,C,,,,,,,,,,,D,6.0,,,4.0,,,3.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,S32b2584834a72536,[B.Sc.] Business Administration,Sch213,International Baccalaureate (IB) Diploma,2020.0,May,"English A: Lang and Lit SL,French B SL, Economics EE, Economics HL Biology Hl, Computer Sc SL, Math HL, TK",31.0,,,5.0,,,,,,,,,,,,,,,,,,6.0,C,7.0,5.0,,,,,,,,,,,,,,,,,,,,4.0,,C,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,S48073ffcf69b3106,[B.Sc.] Business Administration,Sch214,International Baccalaureate (IB) Diploma,2020.0,May,"English A: Lang and Lit HL, French B SL, Business Management EE, Business Management HL, Computer SC HL,Physics SL, Mathematics SL, TK",26.0,,,,5.0,,,,,,,,,,,,,,,,,4.0,,,,C,5.0,,,,,,3.0,,,3.0,,,,,,,,,,,B,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,Scf919c0f2aa75584,[B.Sc.] Computer Engineering,Sch203,International Baccalaureate (IB) Diploma,2020.0,May,"English A: Lang and Lit SL,Spanish B SL, Economics EE, Economics HL, Chemistry SL, Physics HL, Math HL,  TK",27.0,,,5.0,,,,,,,,,,,,,,,,,,,D,4.0,,,,,,,,,,,,,,,6.0,,,,3.0,4.0,5.0,,C,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,S9cdff636638f716a,[B.Sc.] Computer Science,Sch214,International Baccalaureate (IB) Diploma,2020.0,May,"English A: Lang and Lit HL, French B SL, ENV and Soc SL, Computer SC HL, Maths SL, Music EE, Music HL, TKO",26.0,,,,5.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,C,,,4.0,,,,,,,,,,,,,4.0,,,,,D,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,Sceccb0efab329249,[B.Sc.] Business Administration,Sch203,International Baccalaureate (IB) Diploma,2020.0,May,"English A: Lit SL, French B HL, Spanish AB SL, Economics EE, Economics HL, Chemistry HL, Math SL,  TK",29.0,,,,,,,5.0,,,,,,,,,,,,,,7.0,D,3.0,,,,,,,,,,,,,,,5.0,,4.0,,,,,5.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,Sabc7773e328c9bf1,[B.Sc.] Business Administration,Sch214,International Baccalaureate (IB) Diploma,2020.0,May,"English A: Lang and Lit HL, French B SL, Geography EE, Geography HL, Biology HL, Chemistry SL, Math Studies SL, TK",29.0,,,,5.0,,,,,,,,,,,,,,,,,5.0,,,4.0,,,,,,,,5.0,,,,,,,,,,,3.0,,,,B,5.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,Sc8e9bb2c7ebfd025,[B.Sc.] Computer Science,Sch113,International Baccalaureate (IB) Diploma,2020.0,May,"English A: Lang and Lit SL, French AB SL, Economics EE, Economics HL, Chemistry HL, Physics HL, Mathematics  HL, TK",34.0,,,5.0,,,,,,,,,,,,,,,,,,6.0,4,4.0,,,,,,,,,,,,,,,,,5.0,,7.0,,6.0,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,Se68d73cccb73637b,[B.Sc.] Business Administration,Sch214,International Baccalaureate (IB) Diploma,2020.0,May,"EnglisH A: Lit HL, French B SL, History EE, Economics HL, Hist Africa and Mid. East HL, Biology HL, Math Studies SL, TK",27.0,,,,,4.0,,,,,,,,,,,,,,,,4.0,,5.0,,,,,,4.0,,,4.0,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,4.0,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,Sd497e3f74eb9af0f,[B.Sc.] Business Administration,Sch214,International Baccalaureate (IB) Diploma,2020.0,May,"English A: Lang and Lit HL, Spanish AB. SL, Business Management EE, ITGS HL, Business Management HL, Env and Soc SL, Math Studies SL, TK",33.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,A,5.0,,,,,,5.0,,5.0,,,,5.0,,,,,,,,B,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,S0dbf20a1f7351ec5,[B.Sc.] Business Administration,Sch214,International Baccalaureate (IB) Diploma,2020.0,May,"English A: Lang and Lit HL, Spanish AB. SL, Business Management EE, ITGS HL, Business Management HL, Env and Soc SL, Math Studies SL, TK",26.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,D,4.0,,,,,,4.0,,4.0,,,,5.0,,,,,,,,C,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,S8c9e25e570cc5821,[B.Sc.] Business Administration,Sch213,IGCSE,2020.0,May,"English A: Lang and Literature SL, Swahili SL, Economics EE, Economics HL, Geography HL, Biology HL, Mathematics SL, TK",32.0,,,5.0,,,,,,,,,,,,,,,,,,,C,6.0,5.0,,,,,,,,,,,,,,,,,,,,,4.0,C,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,S6df69292b083a462,[B.Sc.] Business Administration,Sch214,International Baccalaureate (IB) Diploma,2019.0,May,"English A: Lang and Lit HL, Spanish AB. SL, Business Management EE, Business Management HL, Economics HL, Env and Soc SL, Math Studies SL, TK",28.0,,,,5.0,,,,,,,,,,,,,,,,,,,4.0,,B,4.0,,,,,,5.0,,,,,,4.0,,,,,,,,C,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,S986f042085eacde2,[B.Sc.] Business Administration,Sch216,International Baccalaureate (IB) Diploma,2020.0,May,"EnglisH A: Lit SL, French B SL, Business Management EE, Business Management HL, Biology HL, Chemistry HL, Mathematics SL, TK",27.0,,,4.0,,,,,,,,,,,,,,,,,,6.0,,,4.0,B,6.0,,,,,,,,,,,,,,2.0,,,,,3.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,S26f570fd1fc76227,[B.Sc.] Electrical and Electronic Engineering,Sch213,International Baccalaureate (IB) Diploma,2020.0,May,"English A: Literature SL, Spanish AB SL, Economics EE, Economics HL, Chemistry HL, Physics HL, Mathematics SL, TK",34.0,,,,,,,6.0,,,,,,,,,,,,,,,C,5.0,,,,,,,,,,,,,,,6.0,,4.0,,4.0,,,7.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,S7fb2cb47efe770a1,[B.Sc.] Electrical and Electronic Engineering,Sch213,International Baccalaureate (IB) Diploma,2020.0,May,"English A: Literature SL, French B SL, Economics HL, Computer SC EE, Computer Sc HL, Physics HL, Mathematics SL, TK",34.0,,,,,,,7.0,,,,,,,,,,,,,,4.0,,6.0,,,,,,,,,,,,,,,,,,,5.0,,,6.0,C,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,S5a9c778275e9eb7b,[B.Sc.] Business Administration,Sch213,International Baccalaureate (IB) Diploma,2020.0,May,"English A: Lang and Literature SL, Swahili SL, Economics EE, Economics HL, Physics HL, Computer Sc SL, Mathematics HL, TK",29.0,,,5.0,,,,,,,,,,,,,,,6.0,,,,C,6.0,,,,,,,,,,,,,,,,,,,3.0,,3.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,S0aef8c0ca72b501d,[B.Sc.] Business Administration,Sch214,International Baccalaureate (IB) Diploma,2020.0,May,"English A EE, English A: Lang and Lit SL, French B HL, Economics SL, Biology HL, Chemistry HL, Mathematics SL, TK",29.0,,B,6.0,,,,,,,,,,,,,,,,,,,,,5.0,,,6.0,,,,,,,,,,,,,3.0,,,,,3.0,C,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,Sddb6f08cebdecc75,[B.Sc.] Computer Science,Sch213,International Baccalaureate (IB) Diploma,2020.0,May,"English A EE, English A: Lang and Lit SL, Swahili AB, Economics Hl, Computer Science HL, Physics HL, Mathematics SL, TK",32.0,,C,6.0,,,,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,,,,,,,,,,,4.0,,,5.0,B,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,S0be8d0afa69feedc,[B.Sc.] Business Administration,Sch210,International Baccalaureate (IB) Diploma,2020.0,May,"English A: Literature HL, Spanish AB SL, Business Management EE, Business Management HL, Economics HL, Env and Soc SL, Math Studies SL, TK",37.0,,,,,5.0,,,,,,,,,,,,,,,,,,7.0,,B,7.0,,,,,,5.0,,,,,,6.0,,,,,,,,C,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,S9c230d6b202a8655,[B.Sc.] Mechanical Engineering,Sch213,International Baccalaureate (IB) Diploma,2020.0,May,"English A: Literature SL, Spanish AB SL, Economics EE, Economics HL, Computer SC SL, Physics HL, Mathematics HL, TK",30.0,,,,,,,5.0,,,,,,,,,,,,,,,C,5.0,,,,,,,,,,,,,,,7.0,,,,3.0,,4.0,,B,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,S1a53127de933ad97,[B.Sc.] Business Administration,Sch201,IB Diploma ,2020.0,May,"Biology, Mathematics, Chemistry, Georgraphy",32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,4.0,,5.0,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,Seceb0b3936a22d05,[B.Sc.] Mechanical Engineering,Sch213,IB Diploma ,2021.0,May,"Physics, Geography, Mathematics",33.0,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,5.0,,6.0,,,,8.0,,,,,,,,,,,,,,,,6.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,S3ac615e867400ba3,[B.Sc.] Mechanical Engineering,Sch213,IB Diploma,2021.0,May,"Physics, Geography, Mathematics",31.0,,,5,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,C,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,4.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,
2025,S2ab3e0634026f5f4,[B.Sc.] Computer Engineering,Sch214,IB Diploma,2021.0,May,"Business Management, Physics, Mathematics",33.0,,,5,,,,,,,,,,,C,,,,,,,,,,,,,,,,,B,,,5.0,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,3.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,S679fd3630e1e7ca2,[B.Sc.] Business Administration,Sch214,IB Diploma,2019.0,May,"Economics, Physics, Computer",30.0,,,6,,,,,,,,,,,,,,,,,,5.0,D,5.0,,,,,,,,,,,,,,,,,,,,,,5.0,C,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,S58226efb99d74c75,[B.Sc.] Business Administration,Sch214,IB Diploma,2021.0,May,"Business Management, Economics, Mathematics",34.0,,,5,,,,,,,,,,,B,,,,,,,4.0,C,6.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025,Sb7302fb65524ae2b,[B.Sc.] Computer Science,Sch214,IB Diploma,2021.0,May,"Computer Science, Physics, Env. And Soc",32.0,,,5,,,,,,,,,,,C,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,4.0,,,,5.0,,,C,,,,,,,,,,,,,,,,,,,,,,
